character_id,role,word,freq
4,agent,shouting,1
4,agent,sipped,1
4,agent,sitting,2
4,agent,slipped,2
4,agent,slung,1
4,agent,smiled,1
4,agent,speak,1
4,agent,spoke,1
4,agent,sprayed,1
4,agent,squatted,1
4,agent,squeezed,1
4,agent,stared,2
4,agent,started,5
4,agent,stay,1
4,agent,staying,1
4,agent,stole,1
4,agent,stop,1
4,agent,stopped,1
4,agent,stroked,1
4,agent,struck,1
4,agent,studied,1
4,agent,stuffed,1
4,agent,stumbled,3
4,agent,suffering,1
4,agent,suggested,2
4,agent,summed,1
4,agent,swallowed,2
4,agent,taken,1
4,agent,taking,1
4,agent,talking,1
4,agent,tasted,1
4,agent,thank,1
4,agent,think,7
4,agent,thinking,1
4,agent,thought,2
4,agent,took,10
4,agent,touched,1
4,agent,tried,3
4,agent,try,1
4,agent,turned,2
4,agent,understand,5
4,agent,understood,2
4,agent,use,1
4,agent,wait,1
4,agent,waiting,1
4,agent,walked,2
4,agent,wandered,1
4,agent,want,2
4,agent,wanted,4
4,agent,wants,2
4,agent,wearing,1
4,agent,went,3
4,agent,wiping,1
4,agent,wondered,5
4,agent,wrapped,1
4,patient,accompany,1
4,patient,ask,1
4,patient,assured,1
4,patient,blame,1
4,patient,brought,1
4,patient,call,2
4,patient,calling,1
4,patient,caught,2
4,patient,concerned,1
4,patient,convince,1
4,patient,cover,1
4,patient,cut,1
4,patient,disengaging,1
4,patient,disturbed,1
4,patient,drive,1
4,patient,entitled,1
4,patient,escort,1
4,patient,excused,1
4,patient,fascinated,1
4,patient,find,1
4,patient,followed,1
4,patient,following,1
4,patient,help,1
4,patient,holding,1
4,patient,intrigued,2
4,patient,introduced,1
4,patient,invite,1
4,patient,join,1
4,patient,jolted,1
4,patient,keep,1
4,patient,leave,1
4,patient,led,2
4,patient,meet,3
4,patient,met,1
4,patient,missing,1
4,patient,nodded,1
4,patient,offend,1
4,patient,prepared,1
4,patient,pulled,1
4,patient,reach,1
4,patient,recognized,1
