Character id,Persona Prob Vec
A_Case_of_Two_Cities_236,"0.097208,0.096090,0.103015,0.100484,0.104232,0.098789,0.104080,0.097104,0.097654,0.101344"
A_Case_of_Two_Cities_2360,"0.097865,0.100891,0.103364,0.102238,0.099153,0.096549,0.103025,0.100428,0.096751,0.099736"
A_Case_of_Two_Cities_2369,"0.096652,0.097164,0.103650,0.102040,0.102238,0.102876,0.104425,0.095092,0.094825,0.101037"
A_Case_of_Two_Cities_237,"0.097826,0.098802,0.103277,0.100830,0.102413,0.098898,0.102199,0.096920,0.099833,0.099002"
A_Case_of_Two_Cities_2377,"0.098855,0.102562,0.101045,0.106943,0.098983,0.109861,0.084366,0.096483,0.096996,0.103906"
A_Case_of_Two_Cities_2379,"0.089553,0.092580,0.108820,0.104739,0.109675,0.102061,0.105601,0.093105,0.086597,0.107269"
A_Case_of_Two_Cities_2393,"0.092581,0.099204,0.102475,0.100990,0.102776,0.098074,0.110597,0.097672,0.093424,0.102206"
A_Case_of_Two_Cities_240,"0.096109,0.100511,0.103773,0.097016,0.099859,0.105415,0.102635,0.093272,0.099111,0.102299"
A_Case_of_Two_Cities_2407,"0.070819,0.096040,0.105141,0.088348,0.103816,0.077377,0.184555,0.098417,0.094101,0.081386"
A_Case_of_Two_Cities_241,"0.081579,0.085570,0.110673,0.093808,0.108605,0.086885,0.145889,0.092574,0.089010,0.105405"
A_Case_of_Two_Cities_2414,"0.097085,0.096801,0.101657,0.103059,0.100449,0.100020,0.105222,0.097873,0.096199,0.101636"
A_Case_of_Two_Cities_242,"0.092128,0.096157,0.101859,0.099609,0.100572,0.098009,0.119554,0.095704,0.094110,0.102298"
A_Case_of_Two_Cities_243,"0.102397,0.099290,0.098382,0.101098,0.100657,0.101453,0.098786,0.097275,0.098592,0.102071"
A_Case_of_Two_Cities_2436,"0.095541,0.101534,0.102934,0.101265,0.100010,0.097023,0.107369,0.098332,0.095437,0.100555"
A_Case_of_Two_Cities_244,"0.103547,0.098745,0.101478,0.101691,0.098749,0.103168,0.093356,0.098829,0.099574,0.100862"
A_Case_of_Two_Cities_2444,"0.094462,0.092376,0.103383,0.099376,0.105941,0.099207,0.116656,0.096566,0.093961,0.098071"
A_Case_of_Two_Cities_2448,"0.098960,0.096887,0.102699,0.101850,0.101675,0.103806,0.101134,0.098774,0.094998,0.099217"
A_Case_of_Two_Cities_2449,"0.097098,0.095930,0.102602,0.098647,0.102435,0.100105,0.109191,0.098674,0.094313,0.101005"
A_Case_of_Two_Cities_245,"0.096168,0.093687,0.104213,0.103883,0.103896,0.110669,0.095502,0.096248,0.097467,0.098267"
A_Case_of_Two_Cities_246,"0.087913,0.093136,0.102567,0.105188,0.111420,0.096420,0.116830,0.093394,0.095604,0.097527"
A_Case_of_Two_Cities_2461,"0.097512,0.100523,0.102169,0.102053,0.098742,0.099564,0.100532,0.095918,0.098350,0.104636"
A_Case_of_Two_Cities_247,"0.102271,0.100830,0.101763,0.101224,0.100754,0.102835,0.098252,0.095543,0.100342,0.096185"
A_Case_of_Two_Cities_2474,"0.093821,0.094208,0.099642,0.099908,0.103761,0.099782,0.116187,0.098493,0.094032,0.100165"
A_Case_of_Two_Cities_2477,"0.091155,0.101580,0.103453,0.104304,0.097561,0.100311,0.104329,0.099401,0.100033,0.097873"
A_Case_of_Two_Cities_2478,"0.093310,0.092774,0.100644,0.100242,0.107434,0.097509,0.120376,0.097248,0.094347,0.096116"
A_Case_of_Two_Cities_2482,"0.091677,0.089422,0.099338,0.099801,0.108184,0.098166,0.126929,0.097806,0.092211,0.096466"
A_Case_of_Two_Cities_2490,"0.094934,0.098177,0.100366,0.100298,0.100514,0.096220,0.111077,0.100635,0.097593,0.100187"
A_Case_of_Two_Cities_2496,"0.101655,0.100860,0.103625,0.104345,0.101717,0.103721,0.095847,0.090553,0.097707,0.099970"
A_Case_of_Two_Cities_2503,"0.096055,0.094984,0.099118,0.098999,0.102637,0.097373,0.112422,0.100579,0.096419,0.101415"
A_Case_of_Two_Cities_251,"0.091421,0.092965,0.104902,0.100080,0.106698,0.099086,0.113353,0.096084,0.097639,0.097773"
A_Case_of_Two_Cities_2524,"0.099365,0.097922,0.103246,0.099313,0.102034,0.100557,0.102892,0.096182,0.096211,0.102278"
A_Case_of_Two_Cities_2526,"0.095805,0.094759,0.102201,0.098258,0.104339,0.099331,0.109889,0.097353,0.094778,0.103286"
A_Case_of_Two_Cities_2527,"0.098691,0.102260,0.103098,0.104355,0.098697,0.101401,0.099533,0.093949,0.094637,0.103379"
A_Case_of_Two_Cities_253,"0.096596,0.097708,0.100014,0.099584,0.103423,0.098591,0.108014,0.099243,0.097218,0.099609"
A_Case_of_Two_Cities_2531,"0.098156,0.102756,0.102339,0.104189,0.101629,0.105483,0.097549,0.091366,0.097285,0.099246"
A_Case_of_Two_Cities_2536,"0.097085,0.096801,0.101657,0.103059,0.100449,0.100020,0.105222,0.097873,0.096199,0.101636"
A_Case_of_Two_Cities_254,"0.094839,0.093762,0.103980,0.098854,0.104627,0.097891,0.112143,0.098378,0.096173,0.099352"
A_Case_of_Two_Cities_255,"0.094746,0.097579,0.103625,0.102906,0.101498,0.099879,0.105822,0.093198,0.097287,0.103460"
A_Case_of_Two_Cities_2550,"0.096508,0.096086,0.101028,0.101658,0.101570,0.100485,0.109519,0.097015,0.093677,0.102453"
