char_key,author,book,m_idx,persona,char_id,best_name,gender,count,other_names
Dreams_of_Joy_728,Lisa_See,Dreams_of_Joy,22,2,728,women,they/them/their,47,
Dreams_of_Joy_730,Lisa_See,Dreams_of_Joy,22,2,730,Some,they/them/their,16,
Dreams_of_Joy_7308,Lisa_See,Dreams_of_Joy,22,2,7308,Character_7308,None,10,
Dreams_of_Joy_7350,Lisa_See,Dreams_of_Joy,22,2,7350,Character_7350,None,14,
Dreams_of_Joy_7369,Lisa_See,Dreams_of_Joy,22,2,7369,Character_7369,None,13,
Dreams_of_Joy_7370,Lisa_See,Dreams_of_Joy,22,1,7370,the organizer,he/him/his,29,
Dreams_of_Joy_7456,Lisa_See,Dreams_of_Joy,22,2,7456,Character_7456,she/her,41,
Dreams_of_Joy_7476,Lisa_See,Dreams_of_Joy,22,1,7476,the cousin,he/him/his,19,
Dreams_of_Joy_7612,Lisa_See,Dreams_of_Joy,22,2,7612,Character_7612,None,28,
Dreams_of_Joy_769,Lisa_See,Dreams_of_Joy,22,1,769,someone,he/him/his,50,
Dreams_of_Joy_7788,Lisa_See,Dreams_of_Joy,22,1,7788,the inspector,he/him/his,14,
Dreams_of_Joy_7803,Lisa_See,Dreams_of_Joy,22,2,7803,the men,they/them/their,30,
Dreams_of_Joy_7807,Lisa_See,Dreams_of_Joy,22,1,7807,The girl,she/her,48,
Dreams_of_Joy_7808,Lisa_See,Dreams_of_Joy,22,1,7808,my husband,he/him/his,103,
Dreams_of_Joy_7809,Lisa_See,Dreams_of_Joy,22,5,7809,a grandson,he/him/his,15,
Dreams_of_Joy_7821,Lisa_See,Dreams_of_Joy,22,1,7821,a man,he/him/his,30,
Dreams_of_Joy_7826,Lisa_See,Dreams_of_Joy,22,2,7826,anyone,they/them/their,34,
Dreams_of_Joy_7834,Lisa_See,Dreams_of_Joy,22,1,7834,my daughter,she/her,335,
Dreams_of_Joy_7851,Lisa_See,Dreams_of_Joy,22,1,7851,this man,he/him/his,42,
Dreams_of_Joy_7870,Lisa_See,Dreams_of_Joy,22,1,7870,the landowner,he/him/his,21,
Dreams_of_Joy_7879,Lisa_See,Dreams_of_Joy,22,1,7879,my wife,she/her,20,
Dreams_of_Joy_7891,Lisa_See,Dreams_of_Joy,22,2,7891,the peasants,they/them/their,15,
Dreams_of_Joy_796,Lisa_See,Dreams_of_Joy,22,1,796,no one,he/him/his,78,
Dreams_of_Joy_7989,Lisa_See,Dreams_of_Joy,22,3,7989,the police,they/them/their,20,
Dreams_of_Joy_8024,Lisa_See,Dreams_of_Joy,22,1,8024,the professor,he/him/his,13,
Dreams_of_Joy_8027,Lisa_See,Dreams_of_Joy,22,1,8027,the widow,he/him/his,23,
Dreams_of_Joy_8033,Lisa_See,Dreams_of_Joy,22,2,8033,the boarders,they/them/their,24,
Dreams_of_Joy_805,Lisa_See,Dreams_of_Joy,22,2,805,people,they/them/their,190,
Dreams_of_Joy_8121,Lisa_See,Dreams_of_Joy,22,5,8121,your father,he/him/his,33,
Dreams_of_Joy_8247,Lisa_See,Dreams_of_Joy,22,1,8247,The cobbler,he/him/his,16,
Dreams_of_Joy_834,Lisa_See,Dreams_of_Joy,22,1,834,the little girl,she/her,30,
Dreams_of_Joy_839,Lisa_See,Dreams_of_Joy,22,1,839,the old woman,she/her,17,
Dreams_of_Joy_859,Lisa_See,Dreams_of_Joy,22,1,859,the woman,she/her,39,
Dreams_of_Joy_865,Lisa_See,Dreams_of_Joy,22,1,865,a tall man wearing wire - rimmed glasses,he/him/his,24,
Dreams_of_Joy_868,Lisa_See,Dreams_of_Joy,22,2,868,the others,they/them/their,53,
Dreams_of_Joy_898,Lisa_See,Dreams_of_Joy,22,1,898,A young woman,she/her,22,
Dreams_of_Joy_919,Lisa_See,Dreams_of_Joy,22,1,919,the same artist who used to paint beautiful girls,he/him/his,26,
Dreams_of_Joy_921,Lisa_See,Dreams_of_Joy,22,2,921,Character_921,they/them/their,18,
