book name,author
SHANGHAI ED AND THE VALLEY OF GOLD PART 2,WAYNE C. ROGERS
SHANGHAI ED AND THE VALLEY OF GOLD PART I,WAYNE C. ROGERS
SHANGHAI ESCAPIST,Robert M. Liu
SHANGHAI EXPRESS,S. MARTIN SHELTON
SHANGHAI FOOLS,VANN CHOW
SHANGHAI FURY,STEVE N LEE
SHANGHAI FURY,STEVE N LEE
"SHANGHAI GIRL, A Novel",VIVIAN YANG
SHANGHAI GIRLS,LISA SEE
Shanghai Gold,Thomas Sturm
Shanghai Holiday,John Zaitz
SHANGHAI IMMORTAL,A.Y. CHAO
SHANGHAI INK,RASHIDA NASHE
SHANGHAI LEGACY,MARION CUBA
Shanghai Love,FIONA FLANDER
Shanghai Love!,Pastor Janet M. Fears D.D
SHANGHAI love,LAYNE WONG
SHANGHAI LUST,Fiona Flanders
SHANGHAI MISSION,Jamie Fredric
Shanghai Murder,Jessie Chandler
Shanghai Nights,JUAN MARSÉ
SHANGHAI NOBODY,VANN CHOW
Shanghai Passage,W.F. Edwards
SHANGHAI PASSENGER,Lucy Brydon
SHANGHAI PROTOCOL,Tom Carroll
SHANGHAI RED,CHRISTOPHER SEBELA、JOSHUA HIXSON、HASSAN OTSMANE-ELHAOU
Shanghai Redemption,QIU XIAOLONG
SHANGHAI ROSE,RICH WHITNEY TURNER
SHANGHAI SCARLET,"Margaret Blair, Gudao, Lone Islet"
SHANGHAI SECRETS,SULARI GENTILL
"Shanghai Shuffle, Book One: Prisoners of War",J B Blackshear
SHANGHAI SIN,Max Gunssler
SHANGHAI SIN IN NEWPORT BEACH,Karl Zelinski
SHANGHAI SPARROW,GAIE SEBOLD
SHANGHAI STAR,WILLIAM H. LOVEJOY
Shanghai STATION,BARTLE BULL
SHANGHAI STORY,ALEXA KANG
Shanghai Sun - The Curse of the General,Andrew J. Parker
SHANGHAI SUNSET,SHARON BARNES
Shanghai Tiger,Haruo Mizushima
Shanghai Torah Yuanfen,Briana London
SHANGHAI TWILIGHT,MATTHEW LEGARE
SHANGHAI VENTURE,Tom Condon
SHANGHAI YESTERDAY,ALEXA KANG
"Shanghai, With Extra Soy Sauce",Ashlee Mack
shanghai.shanghai.shanghai The Kuifang Edition,ALEX KUO
shanghai.shanghai. shanghai,ALEX KUO
SHANGHAI,JOSEPH KANON
Shanghai CB (Michigan Monograph Series in Japanese Studies (Hardback)),Riichi/Washburn
Shanghai,Marcus Carra、Phil Bravery
Shanghai - A Year to Remember,Vijay Menon
Shanghai - A Year to Remember,Vijay Menon
Shanghai'd,CURTIS STEPHEN BURDICK
SHANGHAI'D,KEVIN WEISBECK
Shanghai-Day of the zombie,Unknown
SHANGHAILAND,JAMES DARCUS
"Shanghailanders, A Novel",Juli Min
Sherlock in Shanghai,Cheng Xiaoqing
Sisters of Shanghai; An Autumn Jade Mystery,Steve Whan
SKELETON WOMEN,MINGMEI YIP
SLEEPING WITH THE TIGER,STEVEN M. ROTH
Song of the Exile,Kiana Davenport
SOUR HEART,JENNY ZHANG
SPOILED BRAT,RORY ANDREWS
Spy Killer,L. RON HUBBARD
TAMING THE PACIFIC DRAGON: THE RISE OF CHINA'S GREATEST SHIPPING MAGNATE,Lee R. Clayton
Ten Men,LR L
THAT SUMMER IN Shanghai,BOB DE VRIES
