model,persona,role,rank,word,weight
P8,4,patient,47,conserve,0.1432853639125824
P8,4,patient,48,bottle,0.1430080682039261
P8,4,patient,49,bonesetter,0.13930124044418335
P8,4,patient,50,cave,0.13798823952674866
P8,5,agent,1,correct,0.1452515423297882
P8,5,agent,2,copper,0.1157902404665947
P8,5,agent,3,contain,0.07548315823078156
P8,5,agent,4,copy,0.06751815229654312
P8,5,agent,5,confront,0.0641283169388771
P8,5,agent,6,contemporary,0.04856790229678154
P8,5,agent,7,conﬁrme,0.04816275089979172
P8,5,agent,8,cordone,0.03923832252621651
P8,5,agent,9,clutch,0.03165764734148979
P8,5,agent,10,conﬁde,0.03111494891345501
P8,5,agent,11,colleague,0.029659274965524673
P8,5,agent,12,content,0.026266809552907944
P8,5,agent,13,conﬁne,0.026246480643749237
P8,5,agent,14,candy,0.025578999891877174
P8,5,agent,15,clothe,0.025556067004799843
P8,5,agent,16,connection,0.024523572996258736
P8,5,agent,17,calm,0.022962763905525208
P8,5,agent,18,corrupt,0.02215057797729969
P8,5,agent,19,contradict,0.02178485319018364
P8,5,agent,20,connoisseur,0.020188355818390846
P8,5,agent,21,cd,0.019647911190986633
P8,5,agent,22,contribute,0.01898001693189144
P8,5,agent,23,consider,0.017259862273931503
P8,5,agent,24,convince,0.016141043975949287
P8,5,agent,25,coolie,0.01610487699508667
P8,5,agent,26,cappuccino,0.015332503244280815
P8,5,agent,27,compile,0.014458722434937954
P8,5,agent,28,consolidate,0.014239910989999771
P8,5,agent,29,chemise,0.013974186964333057
P8,5,agent,30,congratulate,0.0125888017937541
P8,5,agent,31,conversation,0.01197061501443386
P8,5,agent,32,cave,0.011377076618373394
P8,5,agent,33,communiqué,0.011371565982699394
P8,5,agent,34,captivity,0.01098004262894392
P8,5,agent,35,conscience,0.01081218384206295
P8,5,agent,36,commend,0.010779541917145252
P8,5,agent,37,compel,0.010738898068666458
P8,5,agent,38,backache,0.01031697727739811
P8,5,agent,39,comb,0.010193723253905773
P8,5,agent,40,constitution,0.010172367095947266
P8,5,agent,41,become,0.009812978096306324
P8,5,agent,42,come,0.009557547979056835
P8,5,agent,43,astound,0.009415891021490097
P8,5,agent,44,chuckle,0.009333946742117405
P8,5,agent,45,afecte,0.009308918379247189
P8,5,agent,46,concentrate,0.009055361151695251
P8,5,agent,47,clutched,0.008889826945960522
P8,5,agent,48,clumsy,0.008646073751151562
P8,5,agent,49,computer,0.008334753103554249
P8,5,agent,50,clench,0.00817806739360094
P8,5,patient,1,copper,0.12486454844474792
P8,5,patient,2,corner,0.09042288362979889
P8,5,patient,3,correct,0.08804082870483398
P8,5,patient,4,corrupt,0.056913528591394424
P8,5,patient,5,cop,0.035916320979595184
P8,5,patient,6,convince,0.02716207690536976
P8,5,patient,7,contribute,0.026793278753757477
P8,5,patient,8,coolie,0.022251827642321587
P8,5,patient,9,connection,0.0189786646515131
P8,5,patient,10,captivity,0.01742677018046379
P8,5,patient,11,cordone,0.017325496301054955
P8,5,patient,12,cook,0.01697602868080139
P8,5,patient,13,conscience,0.01634407602250576
P8,5,patient,14,core,0.015119874849915504
P8,5,patient,15,contain,0.014681825414299965
