n_personas,persona,role,rank,word,weight
5,1,predicative,30,daughter,0.22479112446308136
5,1,predicative,31,hungry,0.2236015796661377
5,1,predicative,32,free,0.20917300879955292
5,1,predicative,33,proud,0.18322902917861938
5,1,predicative,34,part,0.18289844691753387
5,1,predicative,35,frightened,0.16352562606334686
5,1,predicative,36,friend,0.16149315237998962
5,1,predicative,37,ill,0.14274883270263672
5,1,predicative,38,interested,0.14219824969768524
5,1,predicative,39,awake,0.1374937742948532
5,1,predicative,40,determined,0.13117781281471252
5,1,predicative,41,scared,0.12604884803295135
5,1,predicative,42,stupid,0.12104048579931259
5,1,predicative,43,wrong,0.11063707619905472
5,1,predicative,44,anxious,0.09528054296970367
5,1,predicative,45,upset,0.09516671299934387
5,1,predicative,46,mistress,0.09314074367284775
5,1,predicative,47,one,0.09221825748682022
5,1,predicative,48,wife,0.08115013688802719
5,1,predicative,49,sad,0.07561087608337402
5,1,predicative,50,prostitute,0.07099192589521408
5,2,agent,1,said,1.4656416177749634
5,2,agent,2,had,0.9992712736129761
5,2,agent,3,looked,0.9527133703231812
5,2,agent,4,asked,0.8831318020820618
5,2,agent,5,know,0.8657497763633728
5,2,agent,6,have,0.8406825661659241
5,2,agent,7,felt,0.838141679763794
5,2,agent,8,saw,0.7912644743919373
5,2,agent,9,thought,0.7874186635017395
5,2,agent,10,want,0.7425169944763184
5,2,agent,11,wanted,0.7330798506736755
5,2,agent,12,think,0.6746721267700195
5,2,agent,13,see,0.6603352427482605
5,2,agent,14,came,0.6538146734237671
5,2,agent,15,sat,0.6491143703460693
5,2,agent,16,feel,0.602361798286438
5,2,agent,17,go,0.5967203378677368
5,2,agent,18,stood,0.5939375162124634
5,2,agent,19,put,0.5854364633560181
5,2,agent,20,do,0.580415666103363
5,2,agent,21,say,0.5711991190910339
5,2,agent,22,got,0.5479431748390198
5,2,agent,23,tell,0.5421363115310669
5,2,agent,24,left,0.5384993553161621
5,2,agent,25,going,0.538385808467865
5,2,agent,26,come,0.4902407228946686
5,2,agent,27,get,0.4897744655609131
5,2,agent,28,let,0.47483769059181213
5,2,agent,29,take,0.43264588713645935
5,2,agent,30,look,0.42871201038360596
5,2,agent,31,like,0.42691516876220703
5,2,agent,32,understand,0.415793776512146
5,2,agent,33,remember,0.407579243183136
5,2,agent,34,need,0.3999042809009552
5,2,agent,35,hear,0.39890187978744507
5,2,agent,36,make,0.34735095500946045
5,2,agent,37,spoke,0.34077689051628113
5,2,agent,38,read,0.33644425868988037
5,2,agent,39,help,0.30240482091903687
5,2,agent,40,love,0.288638710975647
5,2,agent,41,ask,0.28671538829803467
5,2,agent,42,find,0.2616612911224365
5,2,agent,43,mean,0.24215289950370789
5,2,agent,44,believe,0.2373882681131363
5,2,agent,45,become,0.2349969744682312
5,2,agent,46,arrived,0.23039457201957703
5,2,agent,47,try,0.22707407176494598
5,2,agent,48,give,0.2242983728647232
5,2,agent,49,leave,0.21740077435970306
5,2,agent,50,answer,0.21593375504016876
5,2,patient,1,tell,1.044522762298584
5,2,patient,2,see,0.997776448726654
5,2,patient,3,asked,0.8868392705917358
5,2,patient,4,take,0.7674751281738281
5,2,patient,5,saw,0.7345162034034729
5,2,patient,6,help,0.6861449480056763
5,2,patient,7,ask,0.6531828045845032
5,2,patient,8,love,0.6397731304168701
5,2,patient,9,thank,0.6316802501678467
5,2,patient,10,left,0.6245712637901306
5,2,patient,11,put,0.6071166396141052
5,2,patient,12,find,0.6041756272315979
5,2,patient,13,keep,0.5811218619346619
5,2,patient,14,know,0.5783215761184692
5,2,patient,15,get,0.5680379867553711
5,2,patient,16,call,0.5318899750709534
5,2,patient,17,bring,0.48696568608283997
5,2,patient,18,leave,0.44644322991371155
5,2,patient,19,meet,0.44523608684539795
5,2,patient,20,hurt,0.4435528516769409
5,2,patient,21,gone,0.4426165521144867
5,2,patient,22,watching,0.4316604733467102
5,2,patient,23,married,0.40261146426200867
5,2,patient,24,asking,0.3967307507991791
5,2,patient,25,stop,0.3468027710914612
5,2,patient,26,leaving,0.3355445861816406
5,2,patient,27,visit,0.32967397570610046
5,2,patient,28,remind,0.3081599175930023
5,2,patient,29,kill,0.2778627574443817
5,2,patient,30,show,0.2757997512817383
5,2,patient,31,touch,0.2750953733921051
5,2,patient,32,give,0.2676481604576111
5,2,patient,33,believe,0.26701101660728455
5,2,patient,34,kiss,0.266495943069458
5,2,patient,35,hold,0.24174831807613373
5,2,patient,36,pull,0.2305477261543274
5,2,patient,37,let,0.22956795990467072
5,2,patient,38,protect,0.2277897596359253
5,2,patient,39,hear,0.21694466471672058
5,2,patient,40,force,0.21048687398433685
5,2,patient,41,remember,0.1968105286359787
5,2,patient,42,watch,0.19316363334655762
5,2,patient,43,join,0.1894252449274063
5,2,patient,44,got,0.17805032432079315
5,2,patient,45,like,0.1764768362045288
5,2,patient,46,teach,0.17047487199306488
5,2,patient,47,throw,0.16708414256572723
5,2,patient,48,miss,0.16328652203083038
5,2,patient,49,send,0.1631903052330017
5,2,patient,50,trust,0.16153967380523682
5,2,possessive,1,mother,1.1799663305282593
5,2,possessive,2,head,1.0850590467453003
5,2,possessive,3,face,1.0770477056503296
5,2,possessive,4,hand,0.9986855983734131
5,2,possessive,5,father,0.907820463180542
5,2,possessive,6,life,0.8916387557983398
5,2,possessive,7,sister,0.8609833121299744
5,2,possessive,8,husband,0.855682373046875
5,2,possessive,9,hair,0.8509474396705627
5,2,possessive,10,voice,0.799543559551239
5,2,possessive,11,room,0.7860832810401917
5,2,possessive,12,daughter,0.7300159931182861
5,2,possessive,13,body,0.7182751297950745
5,2,possessive,14,mind,0.7078853845596313
5,2,possessive,15,mouth,0.6800877451896667
5,2,possessive,16,heart,0.6798065900802612
5,2,possessive,17,brother,0.6282983422279358
5,2,possessive,18,family,0.6261650919914246
5,2,possessive,19,way,0.6202744245529175
5,2,possessive,20,aunt,0.5910996794700623
5,2,possessive,21,son,0.5731266736984253
5,2,possessive,22,skin,0.5726613998413086
5,2,possessive,23,arm,0.5714795589447021
5,2,possessive,24,death,0.5713250041007996
5,2,possessive,25,uncle,0.5476646423339844
5,2,possessive,26,bed,0.5457000136375427
5,2,possessive,27,name,0.5449644923210144
5,2,possessive,28,phone,0.5357761383056641
5,2,possessive,29,shoulder,0.533236026763916
5,2,possessive,30,dad,0.5173843502998352
5,2,possessive,31,mom,0.5172658562660217
5,2,possessive,32,neck,0.5126875638961792
5,2,possessive,33,throat,0.5000896453857422
5,2,possessive,34,own,0.4927688539028168
5,2,possessive,35,grandmother,0.4880298972129822
5,2,possessive,36,chest,0.47708660364151
5,2,possessive,37,friend,0.4714241623878479
5,2,possessive,38,apartment,0.4585800766944885
5,2,possessive,39,stomach,0.4506053626537323
5,2,possessive,40,cheek,0.4432933032512665
5,2,possessive,41,back,0.4234697222709656
5,2,possessive,42,nose,0.4170452356338501
5,2,possessive,43,gaze,0.4120880663394928
5,2,possessive,44,home,0.394676148891449
5,2,possessive,45,dress,0.3878612220287323
5,2,possessive,46,breath,0.3704557716846466
5,2,possessive,47,side,0.3640947639942169
5,2,possessive,48,forehead,0.35022491216659546
5,2,possessive,49,work,0.3492327332496643
5,2,possessive,50,chair,0.33859923481941223
