word,cluster_id
period,132
practice,132
prayer,156
predicament,37
pretty,32
prince,56
profession,72
prowess,84
puzzlement,78
qi,136
resolution,121
resolve,132
rest,132
reunion,101
reverie,162
sack,61
scream,251
search,88
sex,33
sheet,132
sink,61
slut,58
sobbing,28
stalk,61
stroll,101
sum,132
taste,134
thirst,14
tip,61
top,132
upset,32
urge,87
vomit,251
whole,32
womb,113
yin,18
aaron,73
anguish,67
attraction,4
awakening,162
bikini,16
coloring,129
desperation,207
embrace,32
enough,32
fill,61
french,73
gullet,62
insight,118
iphone,73
joylessness,162
judgment,175
keyboard,50
kidney,212
nausea,179
parenting,125
playfulness,41
scoliosis,186
shit,58
stroller,133
studio,75
tunnel,132
wrath,37
yorker,73
alice,73
arse,73
astonishment,78
austine,132
cabin,75
center,132
chineseness,72
classroom,39
clue,32
code,121
counselor,103
coworker,157
difference,4
ethnicity,72
evening,132
favor,4
footlocker,54
gmail,73
homeland,72
last,132
mom,180
morning,132
person,3
recital,104
resistance,4
rise,52
second,132
setting,132
stepfather,25
ungainliness,228
accident,88
beverage,169
birthdate,215
blank,132
clock,132
complexity,4
computer,50
dancing,104
dean,227
doorstep,132
drive,132
driveway,144
expertise,118
fascination,33
feature,132
fifth,132
firstborn,165
flirtation,33
grade,39
groin,8
haircut,17
immaturity,146
imploding,211
itchy,240
jealousy,146
labia,93
leery,32
lily,29
lindsey,73
loan,132
mix,132
nickname,72
nightshirt,63
nostril,184
onlyborn,132
password,159
patient,69
proficiency,84
puberty,111
romance,33
shaky,4
slender,129
spanish,73
specialty,132
stroke,179
text,214
uncertainty,81
upstairs,75
yard,82
come,32
commission,121
gone,88
option,4
wrinkling,17
downfall,231
jasmine,29
mill,124
perform,26
writhing,28
yu,18
institute,132
oﬃce,132
crush,61
group,132
joke,32
bookkeeper,25
aat,132
foreﬁnger,132
vague,32
adventurous,101
american,73
bit,32
break,61
creep,52
foresight,48
moan,251
price,132
scrape,61
vanity,146
betrayal,6
campaign,132
confession,100
ease,61
effortlessness,228
existence,72
forefinger,203
giddiness,162
groom,225
hug,156
kerchief,150
marrying,149
milk,137
mixture,147
mode,132
movie,198
paleness,17
pinkie,92
piping,132
pose,61
pregnant,165
rainbow,129
splotchy,129
tentative,132
toilette,20
artist,43
banquet,65
bess,132
bicycle,99
bob,73
burrow,61
button,120
citizenship,40
converse,32
couch,80
creation,132
dragon,189
edfred,132
editor,12
fence,202
ferocity,102
girlishness,228
in,132
may,132
month,132
moy,18
nephew,15
nightgown,63
payment,132
pile,61
plane,90
planning,121
pouch,54
rape,79
red,129
ruddy,129
rush,88
s,132
sam,73
satin,63
scared,32
see,32
shanghai,18
small,132
snapshot,30
sorrow,67
speaking,110
student,39
sweat,251
territory,132
tour,101
tuition,154
twenty,132
veil,63
wandering,88
website,119
xi,123
yen,226
accusation,98
bosom,212
challenge,4
cleavage,70
comb,88
conciliatory,126
curfew,151
duck,189
emperor,56
essence,32
glare,83
grin,46
ground,132
paler,129
petal,29
pigu,132
pique,32
play,26
plot,198
shrieking,251
silver,129
thoughtfulness,228
ace,190
ancestry,72
arch,212
assessment,36
attempt,87
authority,121
behaviour,132
benefactor,12
bet,32
blister,57
bluff,61
bone,212
buddy,157
calm,228
candy,147
cat,143
cavern,75
ceiling,24
champagne,169
cheer,127
cocoon,162
consent,161
court,132
crumpled,88
darling,32
deal,135
defiance,238
disregard,238
dudou,132
estimation,175
eyeball,212
favourite,72
fiend,33
footfall,132
fragrant,29
frown,32
gag,32
glee,127
glory,221
grindstone,61
gut,62
handiwork,72
handmaid,72
heat,108
heritage,72
hitching,61
honour,72
hork,132
interruption,4
ire,9
itch,240
jibe,98
kidnapping,79
lane,144
longnu,132
loss,4
lozenges,155
making,132
ministry,132
nod,32
omission,4
opponent,4
outburst,98
palace,56
pas,18
passage,121
pendant,208
phobia,33
pin,212
portfolio,132
posturing,126
praise,5
priority,4
project,132
property,132
protest,233
purpose,87
quest,87
realm,132
retreat,101
robin,189
rod,212
route,101
salute,156
sampan,94
sanctuary,75
selfishness,146
shake,61
sleuthing,61
smirk,46
snarl,251
stamp,132
stand,61
station,132
stuff,32
sunset,132
ta,18
tailor,132
thoughtlessness,146
throb,251
treasury,132
treaty,135
trespass,132
tummy,62
unfurls,61
urgency,207
venerable,132
version,132
vodka,169
vote,121
wake,132
ward,132
warmth,108
watercolour,95
weakness,4
weapon,45
web,119
welfare,72
whip,61
wrap,61
xiao,18
éclair,147
assignment,4
cd,73
deathbed,72
doorbell,24
killing,79
permit,161
willowy,129
e,132
opening,132
bonus,132
crib,165
diaper,165
forest,132
nanny,142
navigation,132
appointment,89
bolino,132
clawing,52
constitution,121
degree,132
firm,132
française,18
fridge,128
helmet,139
housekeeping,20
jewel,221
martens,189
outfit,132
page,214
pasta,209
procedure,121
recoil,61
sketch,66
store,187
tab,120
uterus,113
vagin,132
acting,132
bot,73
castle,56
crown,132
diary,214
lawn,132
marshmallow,147
saddle,172
schoolwork,220
essay,214
gear,132
headboard,27
location,132
math,39
piccolo,104
pony,172
saddlebag,54
shielding,61
windowtsosotee,132
wood,129
bikinis,16
bookcase,91
cart,99
cruelty,233
currency,132
doll,255
expedition,101
fall,52
fluency,84
hayami,183
hole,61
household,72
instructor,103
miniskirt,63
modelesque,32
rider,172
semester,243
stint,101
triangular,129
yoko,18
advisor,12
ape,189
apple,137
ascent,210
baobei,132
barbies,147
bedpost,27
beep,251
blight,4
bloodline,72
bout,132
burp,251
carpet,152
dare,32
development,132
displeasure,207
doorframe,24
eardrum,10
eczema,179
entertainer,72
fang,18
genius,72
good,32
grandniece,15
grape,137
heping,18
hypothesis,175
indiﬀerence,132
itching,240
jenneeeeee,132
jenneeeeeeee,132
jiu,18
karaoke,187
king,56
lao,18
locker,75
midterm,132
mommy,125
nainai,132
peach,147
pinky,92
pressure,4
punch,61
rageful,72
regard,4
roundhouse,212
rug,152
savior,72
sensei,103
shelf,132
shirtsleeve,139
slip,52
slipper,13
sponsorship,112
statue,181
sun,64
sweetheart,25
tit,233
tv,73
unconscious,253
vagina,93
ventriloquism,41
waipo,132
week,132
whistle,251
wink,46
workbook,196
yearbook,153
ﬁnger,212
ﬂight,90
ﬂoor,75
adventure,101
anus,93
awareness,118
begging,88
braid,63
breastbone,204
chaise,80
compartment,229
consciousness,162
convalescence,69
curtain,24
detour,178
deﬁance,132
eyetooth,132
flank,206
fork,147
lid,212
mad,32
mantilla,255
meanness,146
napkin,128
obstinacy,6
opium,47
outrage,9
retch,251
scone,147
sincerity,228
stare,83
stirring,61
toe,57
torment,37
vigil,88
watching,32
westerner,72
witness,100
agitation,233
approximation,175
banker,12
bathtub,0
billfold,38
bluster,126
capital,132
certiﬁcate,132
clusburtson,132
earlobe,10
humor,41
irrationality,146
mustache,17
silently,251
stable,132
stead,4
vigilance,228
blotter,214
crimson,129
gender,72
incisor,212
inclusion,4
lisp,182
matriculation,53
palate,134
partnership,135
serviette,147
towel,139
apprentice,103
balcony,24
bladder,62
blade,212
buck,61
clarity,228
crouch,24
deﬁlement,132
disdain,199
disﬁgurement,132
ditch,88
footing,4
grammar,39
kneel,156
lapse,4
longue,18
music,104
nightdress,63
pallet,128
paper,214
pardon,223
parlor,187
pekingese,143
penis,93
petticoat,63
port,132
public,132
set,132
teasing,32
turquoise,129
wanchee,132
wet,61
landmark,2
fool,32
namesake,72
pediatrician,69
pram,133
frame,132
fullness,162
ultimatum,110
bereavement,177
bow,61
cello,104
devastation,67
empathy,228
handicap,172
instability,81
knack,84
smoking,169
understatement,32
aptitude,84
blond,17
enrollment,154
improvement,4
opa,18
out,132
palsy,55
scholarship,53
schooling,39
shin,8
tante,132
tenacity,48
adler,132
catchphrase,72
relapse,179
retching,251
withdrawal,4
abruptness,228
ambivalence,207
assailant,86
attacker,86
closeness,228
coolness,228
deception,6
despondency,96
diagnosis,69
directory,119
duct,24
gleefully,251
groggily,205
hemorrhage,122
hopefulness,96
housekeeper,142
inhalation,248
inheritance,72
irritability,193
jews,73
mask,139
might,32
nasal,10
oval,172
oversight,118
pelvis,19
quandary,4
respiration,192
salvation,72
spleen,230
step,4
sunny,64
vein,212
blazer,139
cache,132
cake,147
clumsy,32
fare,132
gingerroot,147
heartache,67
sip,169
trust,132
uncomfortable,32
volume,132
helplessness,171
movement,4
dosage,248
gasp,251
glowed,200
matchmaking,119
needle,212
preference,44
sketching,66
swinging,61
complex,132
developing,132
equipment,132
hoard,61
hua,18
material,132
saga,198
statement,110
textbook,214
tragedy,67
watercolor,43
lust,33
alcohol,169
cofee,132
doorway,24
kit,132
malt,239
outﬁts,132
overlap,4
shortcoming,4
acquisition,135
baggage,54
candor,228
clung,88
efort,132
girlhood,148
grievance,233
hunch,175
intimacy,162
musket,195
nonchalance,228
pail,128
purchase,132
reckoning,4
addiction,33
alcove,24
armor,132
aspect,4
audacity,48
blindness,162
bluf,132
boot,212
burst,61
carelessness,105
carriage,99
cassoulet,209
cheekbone,57
clothilde,132
confrontation,233
contradiction,4
correspondence,110
declaration,110
disgrace,37
disposal,132
ego,146
exchange,132
flashlight,213
gall,48
gitane,147
gitanes,169
habit,33
headband,139
imprudence,146
impudence,48
impulse,191
involvement,118
irresponsibility,146
item,132
kimono,166
knapsack,22
kneeling,156
maroon,129
mauser,132
miscalculation,4
modesty,228
new,132
overdose,248
paperwork,132
paw,212
physician,69
pirouette,120
pistol,45
pointing,132
poncho,234
rebuf,132
revolution,72
rhetoric,126
scaling,52
scorn,5
shimmying,61
slipping,52
sloppiness,105
sobriety,228
sufering,132
sustenance,72
threat,4
thumbnail,120
trance,205
transition,4
unclasp,61
wrong,32
ﬁngertip,212
demise,231
majesty,221
refer,32
camisole,63
elegance,34
folder,252
glove,139
headfirst,24
natalya,132
net,132
raincoat,234
summary,36
warm,108
dropping,52
eyebrow,71
harshness,162
armoire,91
combing,88
cups,219
curt,110
hall,75
jeweler,31
legacy,72
protégé,103
punishment,85
smooth,61
splutter,251
tolstoy,158
tutelage,103
absorption,132
accuser,86
allowance,250
artwork,95
barrenness,162
bedmate,80
blankly,254
boar,189
bookshelf,91
boredom,162
briefly,132
calyx,29
canvas,66
captain,190
carriagemate,132
casual,32
charcoal,129
chop,61
circuit,172
client,132
climb,52
comforter,27
copybook,4
cowardice,6
curiously,32
cycle,132
defender,59
descent,210
deskmate,132
discovery,132
distrust,168
dresser,91
earring,208
easel,66
eraser,66
exhibition,95
gallery,95
gloom,96
groan,251
hairline,17
handful,132
harsh,32
haze,162
hurt,32
inkstone,132
inventory,132
italian,73
japan,73
jiujiu,132
kodak,73
lake,114
lawyer,60
leap,52
literacy,39
mail,132
mat,24
mob,132
muller,132
nation,132
nemisis,61
notepad,50
observer,12
opposite,120
paintbox,129
paintbrush,66
palette,34
pension,132
poetry,158
polish,61
portal,119
quarry,132
rein,61
release,132
sheath,63
shoetip,132
sign,132
sketchbook,66
sketchpad,66
soupspoon,132
stepson,25
stipend,232
stoppage,132
stricken,88
subject,132
tree,29
try,87
unbidden,162
unbinding,132
urging,87
waistband,141
warden,197
weakly,132
wineglass,49
workspace,75
yuliang,18
